CASEID,ORDER,PRIEST,POSITION,PRIMARY,PAID,AREA,SPADMIN,SPCHILD,SPCOMM,SPFAMILY,SPMEDIA,SPMUSIC,SPOUT,SPCARE,SPPREACH,SPPSYCH,SPRELED,SPSPIRIT,SPTECH,SPVOLCOR,SPWORLEAD,SPWORTECH,SPYADULT,SPYOUTH,SPOTHER,GENLEAD,YEARLEAD,STFPREV,YEARSTF,MBRPREV,TIMESERV,DIFFOCC,HRCONG,SERVOTH,HROTHCNG,CHAPLAIN,CHAPUNI,CHAPHOSP,CHAPNURS,CHAPJAIL,CHAPPOL,CHAPOTH,HRCHAP,OTHERJOB,HROTHJOB,HRTOTAL,PREACH,CLASS,VISIT,COUNSEL,COTHCONG,CDEN,COTHDEN,CNONPRFT,CPUBSCHL,CPRVSCHL,CCOLLEGE,CSEM,CBIZ,CHOSP,CGOV,CADVOC,WORKSAT,LVCNGWRK,LVRELWRK,GOD,DOUBT,POSTLIFE,HEAVEN,HELL,MIRAHEAL,PROSPER,REINCAR,ASTROL,RESURECT,ADAMEVE,BIBLE,GRACE,PRAYSOLO,ALLTRUE,MINEBEST,CONVERT,NOFRIEND,LDRWOMEN,ORIENT,GAYMARRY,MIHELP,MIHELP2,MIPSYCH,MISERM,MIPRAY,MICLASS,MILEARN,SERIOUS,CHEM,GENES,TRAUMA,DEMON,NOSUPP,NOFAITH,STRESS,SEEKHELP,TAKEMEDS,RELIGACT,DISASTRO,DISCLIMA,DISENVIR,DISEVOLU,DISPSYCH,DISPOLLS,DISSTEM,DISVAX,DISMED,DISOTH,SIXDAYS,YNGEARTH,CREMIRAC,EVOLVED,GODEVOLV,LAWEVOLV,EVNOGOD,CLIMCHNG,SCICONFL,SCIRELIG,RELICHNG,SCIHOSTL,RESCHAR,RESFORGV,RESHMBL,RESGRAT,RESGENER,RESCNTL,RESPRAY,RESDISC,VSTDYING,VSTOFTN,ALLOWDIE,EUTHA,HOPEMIRA,PALIATIVE,PARTYID7,POLVIEWS,POLGROUP,TOOKSTND,PRAYISSUE,URGEVOTE,URGEACT,LOBBIED,PROTEST,ACTABORT,ACTCAPUN,ACTECON,ACTEDUC,ACTENVIR,ACTFORGN,ACTLGBT,ACTGUN,ACTHEAL,ACTHUNGR,ACTIMM,ACTPOLIC,ACTRACE,ACTOTH,ENDORSE,TAXENDRS,POLCOMP,VOTE,VOTEWHO,INFOBOOK,INFOZINE,INFOWEB,INFOPOD,INFOSOC,GENDER,RACE,YEARBORN,WHEREBRN,EDUC,ATSEM,MARSTAT,ROMRELAT,NUMKID,HEALTH,CAREDFOR,LACKINT,DEPRESS,HAPPY,SATLIFE,LIFEGOOD,BMI,BMICAT,CONGSAL,CONGLIVE,OTHINC,OTHAMT,HHINCOME,STULOAN,LOANAMT,FINSATIS,CHALWELL,CHALTECH,CHALRACE,CHALLGBT,CHALLEAD,CHALGEN,CHALCASH,CHALFEM,CHALFACIL,CHALDENOM,CHALCOMIT,CHALOTH,cong_region,cong_size,cong_trad,cong_race,DURATION,SURVEYDATE,SURVEYYEAR,COVID,MODE_NSRL,WT_NSRL_ALL_IGN,WT_NSRL_ALL_DUP,WT_NSRL_ALL_ATTENDEE,WT_NSRL_PRIMARY_IGN,WT_NSRL_PRIMARY_DUP,WT_NSRL_PRIMARY_ATTENDEE,WT_NSRL_NONP_IGN,WT_NSRL_NONP_DUP,WT_NSRL_NONP_ATTENDEE
1, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,4,2, ,2,14,2,42,2, ,2, , , , , , , ,2, ,42,8,8,5,8,1,1,1,1,1,1,2,1,1,2,2,2,4,1,1,1,1,5,5,5,5,1,1,1,5,5,1,5,5,1,7,7,1,3,1,1,1,3,2,1,1,1,2,2,2,2,2,1,1,1,3,2,2,4,1,1,1,2,3,2,1,1,1, ,5,4,5,1,1,1,1,4,2,1,1,4,3,3,3,3,3,3,3, ,1,3,4,4,2,2,7,6,1,2,2,1,1,1,1, , , , , , , , , , , , , , ,2,1,3,1,4,1,2,2,2,3,1,1,6,1,3,1,2, ,2,1,5,1,1,6,5,7,25.0877700617284,3,6,2,1,1,6,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,3,4,1,24.8,2/19/2019,2019,2,1,.234036552840876,.160320514606388,.189364669677012,.229374413558823,.160385834660087,.381980510989628,0,0,0
2, , ,5,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0, , ,5,1,8,2,20,2, ,2, , , , , , , ,1,5,25,1,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2,3,2,1,1,1,5,5,5,4,2,2,2,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,4,1,9.8,3/5/2019,2019,2,1,.644242924586937,.417899943070519,.418035232996713,0,0,0,.661086338123346,.417686705937265,.256134107321454
3, , ,2,2,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1, ,1, , ,4,2,10,1,60,2, ,2, , , , , , , ,2, ,60,6,6,4,3,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,5,5,5,5,1,1,1,5,5,2,6,6,1,7,7,2,1,1,1,1,4,2,1,1,1,1,4,3,3,3,2,4,3,4,3,2,4,1,1,1,5,1,1,2,1,2, ,5,5,5,1,1,1,1,3,4,1,1,5,3,1,1,1,1,1,1,1,1,5,7,1,3,3,7,6,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2, ,2,3,2,1,2,5,4,5,4,4,1,1,5,1,5, ,2, ,4,2,4,2,2,5,5,6,28.6938775510204,3, ,2,2,0, ,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,1,24.4,1/6/2020,2020,2,1,.90322163967475,1.82010247618323,3.25434736533336,0,0,0,.926835923994334,1.81917375283524,1.99396914790707
4, , ,5,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0, , ,5,1,0,1,40,2, ,2, , , , , , , ,2, ,40,1,4,1,3,2,1,2,1,1,2,2,2,2,2,2,2,4,1,1,1,1,5,5,5,5,1,1,1,5,5,1,5,5,1,1,1,1,3,1,1,2,1,1,1,1,1,1,4,4,4,4,2,3,2,4,4,1,4,1,1,1,1,1,1,1,1,1, ,4,5,5,1,1,1,1,3,1,1,1,4,2,3,3,3,3,3,3, ,1,2,7,1,3,1,7,6,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,1,3,1,2,2,1,3,1,1,2,1,6,1,3,1,2, ,3,2,4,1,1,5,6,7,27.4323621227888,3,5,2,2,0,9,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,4,2,1,29.5,1/7/2020,2020,2,1,.90322163967475,1.82010247618323,3.25434736533336,0,0,0,.926835923994334,1.81917375283524,1.99396914790707
5, , ,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0, , ,4,1,14,1,47,2, ,2, , , , , , , ,2, ,47,1,8,4,4,2,1,1,1,1,1,2,2,1,2,1,1,4,2,2,1,1,5,5,5,4,2,1,1,5,5,1,6,5,2,6,6,2,2,1,6,1,4,2,1,1,1,2,4,3,3,3,2,3,2,3,4,3,4,1,1,1,1,1,1,1,1,1, ,5,5,5,1,1,1,1,2,3,3,1,6,3,3,3,3,1,1,3,1,1,2,6,1,3,3,7,6,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,3,1,4,3,1,2,1,1,2,1,4,1,1,2,2, ,0,2,4,1,1,5,5,6,29.0495867768595,3,5,2,2,0,8,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,1,76.2,1/9/2020,2020,2,1,.90322163967475,1.82010247618323,3.25434736533336,0,0,0,.926835923994334,1.81917375283524,1.99396914790707
6, , ,5,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0, , ,5,1,8,2,50,2, ,2, , , , , , , ,2, ,50,3,7,2,5,1,1,1,1,1,1,1,2,2,2,2,1,4,2,2,2,2,5,5,5,5,1,1,1,5,4,2,4,4,1,7,7,1,2,1,2,1, ,4,1,1,1,1,3,4,3,4,2,4,2,4,4,3,3,1,3,1,2,2,3,1,1,1, ,2,3,5,3,4,2,1,2,1,3,3,3,1,2,2,2,1,3,1,1,1,2,7,2,2,3,5,3,1,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2, ,2,3,4,1,4,5,2,4,4,2,1,1,7,1,5, ,2, ,0,1,5,1,1,4,4,6,20.6721277042638,2,7,2,2,0,8,2,0,3,0,0,0,0,0,1,0,0,0,0,1,0,4,4,2,1, ,8/7/2019,2019,2,3,1.50462672857052,.971220219644671,3.42738939621388,0,0,0,1.54396445233908,.970724645958123,2.09999362290394
7, , ,6,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0, , ,5,1,4,1,20,2, ,2, , , , , , , ,1,4,24,1,7,4,7,2,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,2,5,5,5,5,1,1,1,5,5,1,5,6,1,7,7,1,1,1,6,1,5,5,1,1,1,5,3,4,4,3,2,2,1,3,4,4,4,1,1,1,1,1,1,1,1,1, ,5,4,5,1,1,1,1,2,1,4,1,5,1,1,1,1,1,1,1,2,2,1,7,1,2,2,3,5,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,1,4,1,3,3,3,2,2,2,2,1,5,1,4,2,2, ,2,4,4,1,1,6,5,6,20.9184685578258,2,4,2,1,3,9,1,5,3, , , , , , , , , , , , ,4,4,2,1,15.1,6/4/2019,2019,2,1,1.50462672857052,.971220219644671,3.42738939621388,0,0,0,1.54396445233908,.970724645958123,2.09999362290394
8, , ,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1, ,1, , ,5,2,6,2,40,2, ,2, , , , , , , ,2, ,40,8,7,2,6,1,1,1,1,1,1,1,1,2,2,2,2,4,1,1,2,2,5,5,5,5,1,1,1,5,5,2,6,6,1,7,7,3,6,2,2,1,4,3,2,2,2,4,3,4,3,3,1,2,1,3,3,2,3,1,1,2,2,1,1,1,1,1, ,3,3,5,1,2,1,1,1,1,3,2,5,3,1,3,1,1,3,1,1,2,1,4,4,3,2,5,6,1,3,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2, ,2,2,3,1,2,4,2,4,2,3,1,1,7,1,4,2,2, ,0,2,5,1,1,6,6,7,25.8244897959184,3,7,2,2,0,8,1,7,3,0,0,0,0,0,0,0,0,0,0,1,0,4,4,2,1,28.9,5/7/2019,2019,2,1,1.50462672857052,.971220219644671,3.42738939621388,0,0,0,1.54396445233908,.970724645958123,2.09999362290394
9, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1, , , ,2,35,2,50, , ,2, , , , , , , ,2, ,50,7,4,6,6,1,1,2,1,2,2,2,2,2,2,2,1,4,2,1,1,2,5,5,5,5,2,1,1,5,5,1,5,5,1,7,7,2,6,2,1,1,3,4,1,1,2,2,3,3,3,3,2,3,2,4,4,4,4,1,1,2,2,2,2,1,1,1, ,3,3,4,1,2,2,1,2,3,3,2,4,3,1,1,1,1,1,1,1,1,3,5,4,2,2,6,6,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1, ,2,3,3,1,2,4,3,4,4,3,1,1,4,1,4,2,2, ,0,2,4,1,1,6,6,6,29.8341049382716,3,9,2,1,1,10,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,4,2,1,31.6,9/13/2019,2019,2,2,.334845425001633,.233007033533166,1.17706926082783,.328175116494836,.233101968557419,2.37434743496811,0,0,0
10, , ,2,2,1, , , , , , , , , , , , , , , , , , , , ,1, , , ,2,40,2,52,2, ,2, , , , , , , ,2, ,52,4,8,6,6,2,2,2,1,1,2,2,1,2,2,2,2,4,1,1,1,2,5,5,5,5,1,1,1,5,5,2,5,4,1,7,7,1,1,1,1,1,2,2,1,1,1,3,4,3,3,3,2,2,2,3,4,4,4,1,1,1,4,2,3,1,1,2, ,3,4,5,1,1,1,1,3,3,1,3,6,1,1,1,1,1,1,1,1,1,5,7, ,3,3,6,6,1,3,3,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,1, ,2,2,3,1,2,5,3,6, ,3,1,1,3,1,5, ,2, ,0,1,4,1,1,5,5,6,25.3810751834953,3,9,2,1,1,9,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,2,1,36,4/30/2019,2019,2,1,1.50462672857052,.971220219644671,3.42738939621388,0,0,0,1.54396445233908,.970724645958123,2.09999362290394
